text,language,x,y
I just thought we might expedite.,English,-5.860075,5.943866
"Since you're busy, I will just get to the point.",English,-4.0138955,5.7002845
Pleasantries out of the way. Let's get down to the heart of the matter.,English,-6.4010634,7.3009477
"That's my girl, straight and to the point.",English,-4.354292,7.2306232
"So, if you went straight to the point?",English,-4.8263984,11.5892315
There's no plot in these things any more. Just straight in there.,English,-5.362841,7.3421926
"Louise is holding dinner for me, so let's have it.",English,-4.2093606,5.5136504
"While I'd love to go on trading jabs with you, Spike, perhaps I'll come to the point.",English,-6.413348,7.1389556
You look like a man who likes to get right to the point...,English,-2.1913595,13.100843
The plant is wonderful. But can we get straight to business.,English,-6.134803,6.3687735
"Well, lets get to it.",English,-6.2871084,5.7756753
"We can just get right to the point, Milo.",English,-6.0834374,7.4863486
"So anyway, let's get to the point of it and that, right?",English,-4.919681,11.381503
"So anyways, let's get down to the nitty-gritty.",English,-6.3709216,5.792869
"- He gets right to the point. - Hi, honey.",English,-3.6673203,5.3637285
-Can we get to the point here?,English,-5.2840786,13.256504
"Let's cut to the chase, where's the dope?",English,-4.824821,11.528284
"People are starting to look, so let's just move it along, okay?",English,-5.02022,11.547812
Just cut to the chase.,English,-6.6083,7.2901273
Let's get on to the important stuff - the raffle!,English,-4.587711,11.545926
"Miss Walker, I know you're busy, so let's-- let's get, uh, right to the nitty-gritty",English,-1.0115234,12.127819
"May I... as you say in America, cut right to the chase, professor?",English,-5.502475,12.669893
"Okay, you already know me and I already know you so... why don't we not play any games and you can start by telling me why you're here.",English,-5.2875986,6.7923465
"I'll be at your side despite your insults, a revolutionary aims straight to the goal, at all costs.",English,-3.8349047,6.67833
- Straight to the point.,English,-6.488775,6.22835
"Honey, sometimes it's not the most perfect timing To get straight to the point.",English,-5.709433,6.646112
"But why don't we just cut to the chase, then, and see if this doesn't have Connie's DNA on it?",English,-4.7462945,11.79186
"I'm gonna get right to the point, Jack.",English,-5.750427,7.55573
"- Hey, let me cut to the chase.",English,-6.3287773,7.143784
Makes it easy to get to the point.,English,-6.4047422,5.9764357
"Skip the small talk, ask the questions that really matter to you, and your match may be here.",English,-6.347952,6.87259
"ALL RIGHT, LET'S GET TO IT. WHEN AND WHERE ?",English,-3.2968147,11.147553
"All bullshit aside, Sister, I want God to pick me.",English,-5.025384,7.6883755
"Toby, if you have something to say, please say it.",English,-3.0453913,5.7112484
"Well, I'll get right to it.",English,-5.987674,6.048197
"E, let's just cut to the chase.",English,-6.3645306,6.9467225
"Let's cut to the chase, so we can all get out of here and go home. Okay.",English,-5.288215,7.1584506
"But if you need something, you should let me know.",English,-4.552862,5.780442
"Um, I guess I should just, uh, jump right into this.",English,-5.7397723,7.799639
Let me get this straight.,English,-6.445265,6.8044863
"Let's cut the bullshit, then, is this because she's black?",English,-5.5065165,12.055159
"She knows what she wants, and she asks for it.",English,-3.0491989,5.936091
"- Tessa, let me just cut to the chase.",English,-5.9555225,7.456574
"Well, you walked right into that one.",English,-6.3147597,7.5880604
"Well, let's hash it out.",English,-5.988789,6.2944107
How about we get to the point of this exercise?,English,-4.7605157,11.529895
Larry? I want to get right to the point.,English,-4.9774265,6.7174573
Let me cut to the chase.,English,-6.38475,7.577345
"Since you know everything, let's get to the bottom line",English,-0.938224,12.148245
"You're a very busy man, clearly, so we'll get right to the point.",English,-5.764058,6.4632564
You go right at a thing.,English,-5.2808075,6.2210264
"Uh, getting right to the point, we have an eye on one of your students.",English,-5.7476907,6.1055946
Just call someone a hippie and get to the point.,English,-5.65012,7.3685584
"And judging by your looks, I'm just gonna get right to it.",English,-4.718965,7.5176353
I thought you brought me here because we were gonna cut through the bullshit.,English,-4.616214,7.50767
"I know your time's precious, so I'll get to the point.",English,-6.0499105,6.5870566
"I can't believe this, you go right for the jugular, don't you?",English,-5.099131,12.171953
"You get right to it, don't you?",English,-5.0485325,12.16101
- You read a lot of his stuff?,English,-5.1724806,11.679733
"All right, mom, let's just cut to the chase, and then maybe we can salvage rebecca's birthday party, please?",English,-5.0579176,11.926632
"Amber, I'm just going to go ahead and cut to chase here.",English,-5.8474455,7.9069295
May I suggest that we dispense with the amenities and go directly to your patio.,English,-4.3876877,5.7144957
"Obviously, we have a lot to discuss, so I think we should just jump in.",English,-5.86415,7.876705
"Get to the point, Spock, if there is one.",English,-5.9177485,7.108081
-Yeah? -Let's broach the elephant in the room. -Right?,English,-5.099865,12.218837
I thought you were getting to the point.,English,-5.8767934,6.5847816
"Norma, maybe just cut to the point.",English,-6.04665,7.474447
I didn't wanna bullshit him.,English,-3.9950902,7.2485323
"So, what say we get to it?",English,-4.683358,11.552215
Just get them together and give it to them straight.,English,-6.139944,6.3889513
Let that be. Talk about cash. Money.,English,-6.151555,6.069467
"You jump right in, don't you?",English,-5.266762,12.4951515
"- All of our music is really so symbolic rather than direct to the point, you know...",English,-2.1977053,13.068679
"No, I want to get right to the point and get the hell out of here.",English,-5.4980307,7.400373
'Cause you know I'm here to take that call,English,-0.9190258,12.143797
Let's go make some omelets!,English,-4.949033,12.455936
"But I'm going with Gina's ""suck an egg"" idea.",English,-5.3834224,7.0893893
This year she can go... Blow a balloon.,English,-5.1483717,6.2233744
I told him to go fly a kite.,English,-2.5818248,5.650515
"And as for Mrs. Marko, I should tell her to go fry an egg.",English,-4.160181,7.085932
We're going to call a spade a dirty spade.,English,-3.612835,5.904331
"L""ve always called a spade a spade!",English,-4.7062106,12.175078
If it walks like a duck...,English,-2.199134,13.076268
Let's call a spade a spade.,English,-3.5807915,5.954747
"I just call it like I see it, babe.",English,-4.8234453,6.932448
"PC crap, nothing can be called what it is.",English,-6.0119405,6.052867
"- Let's call a spade a shovel, mate.",English,-4.5381775,6.3609962
Why not call a spade a spade?,English,-5.209902,11.766786
Let's call a spade a spade,English,-0.8967674,12.15366
"See if we can keep this thing going without calling it what it really is, huh?",English,-5.0461974,11.659753
Let's call a spade a spade.,English,-3.504263,5.9920273
A good nurse has to be straight to the point.,English,-3.7350698,6.353999
But I can still call a spade a spade.,English,-5.504919,6.875311
"Janet, it is time to call a flake a flake and a spade a spade.",English,-4.2552476,6.5159883
I was simply calling a spade a spade.,English,-5.7055926,6.516298
"Well, let's just call it what it is.",English,-6.0829616,7.463384
"There I am prepared to call a spade a spade, as a warning to present and future generations.",English,-6.2668233,7.553748
"You know me, I call a spade a spade.",English,-5.9324217,6.6240683
"I find if you call a spade a spade, you'll generally get a favorable response.",English,-5.2107167,6.3690434
"Well, let's call a spade a spade, shall we?",English,-4.9599047,11.446602
My method is based partly on calling a spade a spade.,English,-6.4259324,5.3972516
"Let's just call it what it is, right?",English,-4.9834476,11.491363
But let's call it what it really is.,English,-6.317601,6.5292816
"- What? Now, look, Louisa, let's call a spade a spade.",English,-4.9404817,7.4998384
Let's cut the bullshit and call this for what it is.,English,-6.3732166,7.47633
I'm just not used to this... whatever it is.,English,-6.1397896,5.7004595
"Well now, let's be, let's call a spade a spade.",English,-3.5320528,5.6458936
"Look, Charlie, let's just call a spade a spade.",English,-5.6485453,7.3358636
Say it like it is!,English,-4.734865,11.929353
"I mean, let's call it what it was.",English,-5.7313595,7.560116
"Oh let's see, because I call a cat a cat?",English,-5.3331428,12.2353115
Why don't you try calling things by their name for once?,English,-4.8809223,11.668073
"Why don't you just call it what it is, okay?",English,-5.6212573,12.562504
"It's what a pamphlet is supposed to be, straightforward, no beating about the bush.",English,-6.1731977,7.7187405
-A fact is a fact.,English,-5.1773496,6.2302504
"""Call a spade a spade,"" and all that ordeal.",English,-6.1010914,6.848117
- If the shoe fits...,English,-2.2177284,13.099211
"The house behindmejust explodedinto flames and, to put it bluntly, all hell is breaking loose.",English,-3.9174838,6.876794
I just used a crude word... A spade's a spade.,English,-6.0544543,6.076536
"Let me just put the shit on out there, OK?",English,-5.224261,12.145607
It's like calling a spade a spade.,English,-5.553715,6.2489953
Vanessa turned up at an awkward moment.,English,-3.222424,6.533196
It's rather remiss of me to intrude on you like this... but I really felt I should break the news to you personally.,English,-5.4412823,7.9432325
"It's just a bolt out of the fucking blue, that's all.",English,-5.272325,7.989829
I've got a lot on my plate and um...,English,-2.1698115,13.079848
"Got your plate full there, Harold.",English,-6.008375,7.038645
Lotta irons in the fire.,English,-5.724911,7.505005
You have a job to do.,English,-6.2182717,6.4247828
"Got a pretty full plate right now, huh?",English,-5.273523,11.262771
"- I guess you have your work cut out for you, don't you, Alex?",English,-5.3260984,13.035911
- Constance... - At least somebody else sees I've got my work cut out for me.,English,-4.845134,7.3403587
"From the moment Simon Lamb walked into the station, I knew we had our work cut out.",English,-6.179395,7.9273233
"Then I hope you've got a lot of time to do some thinking in the next few days, because you got some work to do.",English,-4.100881,5.954203
I'm sure they were dealing with a lot.,English,-4.410524,6.6154175
"I've got work to do here, and you are getting in my way.",English,-4.354189,6.32147
"Now, like I said, I got a lot of work to do.",English,-5.538549,7.440897
"All right, come on, I really got work to do now.",English,-5.0024595,7.281957
There's a lot of work needs doing.,English,-5.6609316,6.6240153
You've got a lot on your plate.,English,-5.8760433,6.5088573
I was worried we'd suddenly have work on our hands.,English,-4.757984,7.071169
I've got a lot on my plate just now... and I'm feeling less than my full fucking self.,English,-5.238193,7.5822086
"Well, Jackie, you got a job cut out for you.",English,-5.71371,7.6400166
"Well, uh, you sound like you got a lot on your plate, so...",English,-2.1798997,13.093844
Got work to do.,English,-6.4927487,7.0013638
"I certainly have my work cut out for me, don't I?",English,-5.5840244,12.849027
"El Paso, you got your work cut out for you, baby.",English,-5.9069643,7.4079328
"Look, I know you have a lot on your plate, but my parents can't stand you, and my cousin is...",English,-2.1870456,13.095049
But first you got this in front of you.,English,-6.1228814,6.286327
"Now get going, brother. You have a lot of work to do.",English,-4.21207,6.260325
"I know I've got my work cut out for me, but with your help, I know one thing. Now.",English,-6.1869793,5.5960746
You got your hands full over there.,English,-5.1251755,6.750143
"Hey, sorry, Kenny. Guess you got your work cut out for you.",English,-5.309445,7.7739763
There's still so much to do.,English,-4.495957,5.9364
We know you got a steaming pile on your plate.,English,-5.864746,6.3918166
"Well, you have your work cut out for you, Peter.",English,-5.3682876,7.0027285
"Come on, you've got work to do!",English,-5.0336933,12.653862
"For whoever takes his place, those are gigantic shoes to fill.",English,-4.6274357,7.1143107
But I'm serious. You're not quite there yet but maybe I've been dismissing you too easily over the years.,English,-5.026134,7.1627774
"Okay, well, it looks like you have your work cut out for you, so good luck.",English,-5.9529324,6.4507957
You've got a lotta work ahead of you.,English,-5.865501,6.1912913
I think I have a little work to do.,English,-4.487474,5.7545834
"You, on the other hand, have a rotten job to do.",English,-4.1565127,6.3399677
Some comfort this is!,English,-4.493434,11.946312
You got hands like bricks!,English,-4.639752,11.826041
"I would do it myself, but I am all thumbs. Yeah, I'm sorry about that.",English,-4.858214,5.7961793
"Yes, and I I have 2 left hands.",English,-4.8904247,6.0211263
I think I have two left hands.,English,-4.7151484,5.7212405
"Oh, Sally, you are fingers and thumbs tonight.",English,-4.097795,5.774202
Mechanically retarded would be closer to the truth.,English,-6.3498616,5.9757
Sanil couldn't close a door with two hands and an arm.,English,-4.1389256,6.498785
You can barely hold one thing in each hand.,English,-4.733939,6.1339965
You're a spiller.,English,-4.810335,6.379488
I seem to be all butterfingers today.,English,-5.845969,6.129939
- How about tonight? I can't. I'm busy.,English,-3.1500864,5.1174374
"Poor excuse for a man, even a waiter, as far as I'm concerned.",English,-5.6733613,6.878466
Sometimes I'm just all thumbs.,English,-5.304923,6.0562572
Have you got two left hands?,English,-5.4631534,12.210685
"The dear boy is all thumbs, just like his poor father.",English,-2.760314,5.8725033
He's got no hands.,English,-3.847691,6.639453
I kind of have two left hands.,English,-5.0694547,5.7398624
"Before we start, are you all ready to jam?",English,-5.1751704,11.302461
I'll go bananas.,English,-2.7712455,5.6113405
The isotope centrifuge went bananas.,English,-6.1279073,6.9832954
Jakey'll go bananas.,English,-4.1590834,6.2399454
"I've still got it, pal.",English,-5.2276783,6.6445413
"If you want ice cream, go nuts.",English,-6.045922,6.704102
I can't help but smile when I'm around her.,English,-4.3974147,7.715832
I got the banana.,English,-3.9896448,5.180745
Banana cream's the first to go.,English,-6.6617465,7.1585436
"A year from now, you're going to adopt a kid and you're going to have a big fat smile on your face.",English,-5.523268,6.6978874
"Yeah, they'll go bananas for that one.",English,-5.8214393,7.381642
People have to be happy that you've arrived.,English,-2.8397644,5.5356374
"""I've got the blues for you.",English,-4.626075,7.089666
I was lonely. I wanted to say something in my own language.,English,-4.071609,6.5055795
After Finney and I split up I was pretty blue,English,-0.8889498,12.19315
"The weather's terrible, the guests are miserable and more and more people are leaving Risa every day.",English,-4.651911,6.0785036
- We miss you!,English,-4.613573,11.877744
Are you unhappy?,English,-5.479034,11.373444
I'm depressed.,English,-5.2080317,5.933183
This place gives me the creeps on Sunday.,English,-5.7485976,7.1376204
"I was alone, I felt down",English,-0.91711277,12.1495495
I've been feeling kind of blue lately.,English,-4.7990875,5.58154
If I ever feel lonely I'll look at this disfiguring scar and think of you.,English,-3.7809668,6.938453
"Come on, Hol. I'm broken up.",English,-4.491217,7.4149456
I got somethin' that'll cheer you up.,English,-4.9841037,6.427107
"""Well, you may feel low and you might not be able to create a play right now...",English,-2.161752,13.087837
"I was doing great, then out of the blue, it snuck up on me.",English,-5.292679,6.1828976
- You look glum.,English,-4.0939803,5.946187
Streets Are Uneven,English,-4.5910115,11.590327
I got to this point because I had the blues.,English,-5.4098387,6.86699
- We call it the blues.,English,-5.573557,6.9715657
"When I get bummed out, I take my shirt off because the bad feelings make me feel sweaty.",English,-4.740014,5.514195
"Funny, here I was down in the dumps, disgusted with everything. - And then you came along and...",English,-2.166946,13.100275
"- I've got the blues, Jen.",English,-4.13203,5.3905435
♪ You'll feel blue ♪,English,-4.5670824,11.988644
"There are days when guys have the blues, then they talk.",English,-5.792476,7.929421
"After I married, I felt a little unhappy.",English,-3.9237928,6.076998
We all got the miseries in here. All of us.,English,-4.9696426,7.209427
"""I'm here feeling blue""",English,-4.929159,12.689958
Really?,English,-4.8675356,11.721874
I play this piece when I'm sad. I pretend I'm a ballerina.,English,-4.7174506,6.363675
"I also packed your paintings of our best time together, just in case you get lonely.",English,-4.8767204,6.045308
"Today, everybody has the blues.",English,-6.3144894,7.2104316
♪ You'll feel blue ♪,English,-4.537982,12.012559
So what makes this place a good place to go when you're feeling down?,English,-5.3585906,11.783383
I feel so bad.,English,-5.1240907,6.320728
When you're feeling in the dumps,English,-0.90353394,12.12976
Englishmen tell it when they're feeling down in the mouth.,English,-6.0940657,7.6344867
Are you homesick?,English,-5.4132037,11.26883
I'm so bored.,English,-4.1069717,5.0660615
You know who has the right to be melancholy? We Italians!,English,-4.8850026,11.982726
I'm homesick.,English,-4.1133976,5.1450768
I've got the you-don't-want-to-stay-with-me blues,English,-0.89777076,12.138342
"I came because I was in a bad mood, get it?",English,-5.609782,12.603919
"Am I blue, Am I blue",English,-0.9637063,12.171969
"Be a good girl, Ann, no matter how lonesome.",English,-3.4228046,6.121567
I've had the blues...,English,-2.1686847,13.1004305
Think I should pull off a fine smile and forget my pain?,English,-5.299057,11.345243
His language has changed.,English,-3.860895,6.1198683
"- ""Even the parrot's got the blues...""",English,-4.562303,12.414577
- Your mom told me you were upset.,English,-3.669118,5.84001
"I swear, it is impossible to feel bad about anything when I'm around him.",English,-4.2333436,7.680347
Greg has been coming by my place and I just... I've been feeling so miserable at home.,English,-5.0415053,5.8480988
"And I want you to know, that ifyou ever need anything, you're feeling bad in any way or you just need to talk, then I'm there for you.",English,-4.236033,6.11797
"I understand you're feeling a little homesick, but it's 3:00 in the morning.",English,-4.3168654,5.530526
"I was in the dumps, and then Uncle Charlie came and everything changed.",English,-4.7741756,7.3176274
You start taking pills because you're unhappy,English,-0.94215745,12.124365
"-Yeah, yeah.",English,-3.7092457,5.7487197
"That day, I had the blues.",English,-5.032686,6.919648
"You know, Mitch, all of a sudden, I'm very depressed.",English,-5.2825046,7.5359306
Sometimes I get these itches.,English,-5.1627603,5.4395933
I haven't been lonely.,English,-3.4992247,6.2775536
Down in the dumps.,English,-5.892684,6.5749626
Bésame.,English,14.327681,-0.21609393
Lt'll make you feel badly.,English,-3.6261542,6.1496086
I've been in kind of a funk.,English,-5.337283,6.4388266
"And since he died, I've been feeling down.",English,-2.983735,5.9718328
I've got the you-don't-want-to-play-with-me blues,English,-0.9226906,12.171549
"When my uncle goes to sea, it's because he has the blues.",English,-3.8521562,6.3966074
When I'm broke I don't eat. Then I get tired and depressed.,English,-4.748775,5.3368692
You're just suffering from a case of the divorcée blues.,English,-5.798643,7.1400633
"You know, you shouldn't feel so bad, no matter what happened.",English,-2.9144547,5.58859
"-Yes, I was feeling blue.",English,-3.3260677,5.216032
Guess it doesn't know the words.,English,-3.274896,5.7056437
"If it gets too lonely, there's a cantina down the street called Pablo's.",English,-4.574871,7.739528
I feel so sad today!,English,-5.1266727,13.124105
I kind of pig out when I get depressed.,English,-5.0898314,5.6121035
"I dunno, I got sad, so I left.",English,-4.523996,6.346329
"""I can hardly get out of bed.",English,-4.213303,6.0664268
My God! How could you be homesick?,English,-5.1281114,12.514794
I just saw that you were brooding.,English,-4.2783594,6.1816387
Why getting in the dumps?,English,-5.1735325,11.618938
When I've got the money.,English,-4.4339633,5.9690113
Anita doesn't want to.,English,-3.932484,6.732759
But I make it a point to get busy as soon as I feel the blues comin' on.,English,-5.191583,6.0684476
You know why we have Monday Blues?,English,-5.1110907,11.518133
I'd get upset sometimes over my mum and dad and he'd do his best to cheer me up.,English,-3.1299002,6.025032
It's about a very lonely girl who's sick and tired of war and being left alone.,English,-4.842542,7.657174
"Every time I think about the day we met, I just get goosebumps all over again.",English,-4.9431047,7.961894
"- This is really creepy, Andie.",English,-4.4637823,7.5237765
I have goosepimples.,English,-4.9938416,5.602215
"Ever since I met you, I've had a chill running up my spine.",English,-4.468793,7.5639143
Every time I walk by here I get the creeps.,English,-5.6597924,6.5981865
I used to get goose bumps every time I looked at that flag.,English,-5.31751,5.7487183
I have goose bumps.,English,-5.2653747,5.514865
I just got the chills again.,English,-6.036204,6.891797
You make my skin crawl.,English,-4.5328364,7.0992217
Some sights I saw were so spooky they gave me goose-pimples.,English,-5.5239267,7.3416514
"Deano, I'm getting the chills just hearing you talk about it.",English,-5.0966573,7.5053563
My skin crawls being in the same room with him.,English,-5.135728,5.8212013
"I've got goosebumps, I'm not even a hockey fan!",English,-4.608878,12.015992
You're shaking.,English,-4.9547586,5.915022
The hair on the back of my neck's standing up.,English,-5.1881123,5.396406
"If by ""uncomfortable,"" you mean it made my skin crawl, then yes.",English,-5.5221024,6.141197
He's giving me the creeps.,English,-4.381385,6.91307
"Look, I've got goose bumps.",English,-5.249383,5.60044
- You've got goosebumps.,English,-5.294081,5.580352
"Oh, Paul! I get goose bumps every time I think about it!",English,-4.6871624,11.982259
Do whatever you like to make sure they'll have goose bumps when they see it.,English,-4.7895956,6.0550904
It's not my imagination... I've got goose bumps.,English,-5.33491,5.6548505
Why do I keep getting these bruises?,English,-5.51636,11.9226
She had goose pimples because she was cold.,English,-2.6122248,5.715066
"Every time I see you, I get goose pimples.""",English,-4.602051,12.574988
"I suddenly felt all chilled and goosebumpy, too.",English,-5.1258245,5.6949396
"Oh, I have goose bumps.",English,-5.301088,5.5502295
I can make the hair on my arms stand up any time I want.,English,-4.962164,5.5175486
"Ahjussi, I got goosebumps.",English,-4.845849,6.9504986
Still can't listen to the eagles without getting the chills.,English,-5.911116,6.7271595
Give him a little time. Let him enjoy his goose pimples.,English,-5.0321593,6.798669
"Nitro. - Oh, baby, I got the chills!",English,-4.7530227,12.010073
I just got chills.,English,-5.852099,6.181989
"Look at me, look at me, I've got goose bumps.",English,-4.4245343,6.328562
"Boy, that just gave me goosebumps.",English,-6.156045,7.632723
"You got the chills, are you sick?",English,-5.3320227,11.387545
- I have chills. - I hear the networks calling you.,English,-3.330727,5.5212727
"She pushes me away then, but I know she's getting goose pimples.",English,-5.1083994,5.766118
My skin was crawling.,English,-5.2137003,5.8302474
I think I'm getting hives.,English,-5.6570883,5.664913
"""Our own shipyard comes first."" It gave me goose pimples.",English,-4.124137,6.3440785
"look, I've got goosebumps.",English,-5.580582,5.449522
"I've gotten real goose bumps now, because I can remember it.",English,-5.239009,7.5386686
I get creeped out just knowing he's out there somewhere.,English,-5.4126415,7.0281725
You're making all the hairs on my neck stand up.,English,-4.7572713,6.500228
I got goose bumps.,English,-5.3623366,5.602682
Or do you have pimples?,English,-5.4733834,11.68994
- I'm getting the creeps.,English,-4.9030433,6.7701106
"If I had any feelings, - I'd have the chills right about now.",English,-3.6819432,6.778026
Is anyone else getting the creeps here?,English,-4.75513,11.713988
"No, I got the chills from your magnificent performance.",English,-4.7303762,6.7377605
"Frannie said that, 'cause I just got goosebumps.",English,-4.2807565,7.1439376
I got goosebumps.,English,-5.453652,5.990743
"Just for a second, I was feeling all the hairs on the back of my neck.",English,-5.3090663,5.587477
You're making my flesh creep.,English,-5.21809,6.891856
Look. I'm getting goose bumps just thinking about it.,English,-5.1642375,5.689196
I think the way you describe it is as if someone had just walked over my grave.,English,-4.863824,7.4795113
"Now, if I was a girl, I'd get goose bumps with what you just brought.",English,-5.170961,5.66479
I get goose bumps when listening to you.,English,-4.5460362,6.3352275
"Ok, I just got goose bumps",English,-0.8983668,12.131084
"The hair stood up on my arms, and my mouth grew dry with disgust.",English,-3.108127,6.253337
He gave me goosebumps.,English,-3.1347947,6.304208
You've got goosebumps.,English,-5.544772,6.3626137
He hypnotised me and made me cluck like a chicken.,English,-3.7180789,6.722537
I feel like dying each time you say it.,English,-4.1233487,6.667347
"I have goose bumps, people.",English,-5.2668486,5.585335
"Oh, someone just walked over my grave. Please.",English,-4.092588,6.858849
"Yeah, anybody else getting the creeps?",English,-4.9875216,11.74726
I got goose bumps from it.,English,-5.2700686,5.6379128
It gave them goose bumps.,English,-3.3632064,6.3873863
- I have goose bumps.,English,-5.0082345,5.415299
I got goose bumps. And it continues down my spine.,English,-5.3058233,5.528794
But it's so creepy.,English,-3.9631622,6.5834713
I hope that will not create any trouble.,English,-4.0268426,5.8693776
"But please believe this one thing. That thrill I felt when I saw you, that was the honest truth.",English,-4.062037,7.2016244
"When the ""Navigator"" leaves, it will send shivers down my spine.",English,-5.59785,6.273303
"Boy, I can't wait to go on vacation and have tons of sex.",English,-4.9684234,6.8842387
"This is cool, I have goose bumps.",English,-5.2659507,5.56408
I had goose bumps.,English,-5.3440113,5.570471
"Look, the models have goose bumps.",English,-5.3810234,5.5478287
"I've got goose bumps, frankly.",English,-5.4755373,5.987273
Creepy.,English,-5.997493,6.66404
Addie has goose bumps.,English,-3.5460918,5.6113157
You ever feel the prickly things on the back of your neck?,English,-5.3931847,11.218912
Goose bumps!,English,-5.0004396,11.2853565
Like ripples under my skin.,English,-3.9866118,6.788083
-You've got goose bumps.,English,-3.3968115,5.0974855
I' m concerned about goose bumps.,English,-5.2583394,5.416696
She looks so much like her that it gives me goosebumps.,English,-3.3247232,6.5097103
Got creepy?,English,-5.389279,11.227787
And I've got goose bumps!,English,-4.6930246,12.209347
I just saw it and got goose bumps.,English,-5.5831003,6.3096185
I actually got goose bumps that time.,English,-5.2869124,5.5410047
Goosies on my arms! Look at my arm hair!,English,-4.790243,11.949836
She gets goose bumps.,English,-3.413388,6.303055
So sick.,English,-5.995203,6.456553
"- Gives me the creeps, to be honest. - Yeah.",English,-4.9743605,7.33225
"Look, I got freakin' goose bumps.",English,-5.392096,5.6084533
"Something gives me goose pimples, but I don't know what it is.",English,-5.1679096,5.3775454
"Look, look, goosebumps!",English,-4.924287,12.623549
Oh my God I got goose bumps.,English,-5.397719,5.581284
"I mean Woody's got a heart of gold but, let's be honest, everything he touches turns to shit.",English,-5.334416,8.057287
Wore his heart on his sleeve.,English,-3.9586444,7.0718327
She's got a big heart.,English,-2.9021928,5.8981595
I'm a generous and easy-going guy,English,-0.96562505,12.135928
Because... the man with the face of a mountain goat... had the heart of an Abraham Lincoln.,English,-5.7900114,7.756326
"He's a nice fellow, Paul. He just worries too much. Don't you think?",English,-5.306706,13.223804
And she just gives and gives.,English,-4.6195235,6.995334
"I wear my heart on my sleeve, see?",English,-5.1515937,12.12281
"I mean, his heart was in the right place, you know?",English,-5.4280105,12.375241
"Here's to Jeremiah, whose heart's in the right place.",English,-5.6559157,7.6567636
I've got your heart on my sleeve!,English,-4.622285,11.882258
"Miss Rachel, I understand that you're the mother of the community, always an open hand, and an open heart.",English,-4.656833,6.293265
"His wife's a fine, great-hearted woman.",English,-2.985884,5.856677
You wear all your feelings on your sleeve.,English,-4.893782,6.609426
"Here, everyone is open and generous.",English,-3.9356618,5.965037
What's with wearing your heart on your sleeve today?,English,-5.208306,11.469668
They're always ready to give.,English,-3.038997,5.7387414
"Suraj, Prashant.. all of them are very large-hearted.",English,-3.6856024,6.671557
He has a good heart.,English,-2.641183,5.470273
"And you, you wear your heart on your sleeve.",English,-4.5437694,6.7071986
He is smug. Because he has a heart too big for his chest. Liar!,English,-4.877517,12.183293
That's because my heart's in the right place.,English,-3.843617,6.2927957
They're real sweethearts.,English,-4.3861012,7.6856065
"They sing, drink, party...",English,-2.158155,13.030066
"Look, I know I wear my heart on my sleeve, and I need to be more like you.",English,-4.4833035,6.5232015
You wear your heart on your sleeve.,English,-5.1955853,6.4337473
"You always had the most beautiful heart, Ray.",English,-3.8700922,7.067923
Hearts as open as our doorway,English,-0.94208235,12.153962
"You are a kind man, Don Leo.",English,-4.964151,6.473203
I'm not about to give you an explanation about my private life and business.,English,-4.857421,6.743832
